"","input_resistance_mohm","ri","sag","vm_for_sag","vrest","height","binary_neuron","fast_trough_t_ramp","fast_trough_v_ramp","peak_t_ramp","peak_v_ramp","threshold_i_ramp","threshold_t_ramp","threshold_v_ramp","trough_t_ramp","trough_v_ramp","upstroke_downstroke_ratio_ramp"
"412",123.66616,74.9998837709,0.0403347201645,-86.75,-78.1814880371,94.7125038147,"Excitatory",7.45446,-46.2395833333,7.45015333333,44.1666692098,160.708333333,7.44958666667,-38.1562525431,7.49453333333,-52.8437538147,5.00209232744
"415",169.58944,126.71867013,0.0435944460332,-89.9687576294,-76.2541275024,93.3750038147,"Excitatory",7.42555333333,-48.9791666667,7.42017333333,47.6770846049,159.958333333,7.41971333333,-36.4895846049,7.43904,-54.4791679382,5.87598493556
"418",177.283872,137.343794107,0.0292228590697,-94.34375,-76.8331451416,82.7812553406,"Excitatory",3.97983166667,-41.1770858765,3.97844,37.8854192098,73.9166666667,3.97808833333,-29.1875012716,4.01436166667,-49.4791692098,2.84366039875
"424",441.202464,380.781233311,0.218152210116,-98.65625,-69.4236221313,87.1250038147,"Inhibitory",2.20775833333,-58.4895858765,2.206655,29.5729173024,29.625,2.20626333333,-39.5833358765,2.20788666667,-58.6875012716,1.69030579443
"434",95.58364,87.1874988079,0.0920467376709,-89.7812576294,-70.0180740356,83.5000019073,"Inhibitory",16.038805,-61.333337148,16.0382116667,13.7291679382,375.416666667,16.037915,-32.5000012716,16.0388466667,-61.4166692098,0.969012318201
"435",214.070112,162.544712424,0.0740037932992,-89.2500076294,-70.6075286865,83.3312522888,"Inhibitory",6.23836666667,-58.6875025431,6.237605,15.1250009537,130.45833079,6.237265,-35.2916704814,6.23844166667,-58.8437512716,1.08552445812
"443",226.82648,148.749992251,0.0565289407969,-87.0625,-70.4658660889,96.9218762716,"Inhibitory",6.683205,-62.5937525431,6.68235,24.9166673024,141.541666667,6.68195333333,-35.2187512716,6.68324666667,-62.7083358765,1.20442910942
"446",150.047936,129.776865244,0.138412699103,-91.5000076294,-78.4465026855,84.7031288147,"Excitatory",4.70319666667,-49.0520833333,4.70108,30.3750012716,92.0416666667,4.70066333333,-35.2395833333,4.7446,-59.1354204814,2.90953925862
"452",251.150864,289.531320333,0.0597299821675,-94.5000076294,-62.7012290955,96.5500053406,"Inhibitory",3.04646,-48.34375,3.04421,43.2812519073,50.5625,3.04361,-34.9218769073,3.07381,-54.9218769073,2.75413282364
"470",134.760864,170.156210661,0.0559369772673,-90.71875,-72.9973297119,93.1562576294,"Excitatory",5.28184666667,-47.8541692098,5.27977333333,44.0104179382,106.499997457,5.27931333333,-33.0208346049,5.3054,-55.052087148,3.7064364151
"473",102.12096,125.000193715,0.141033068299,-89.5,-75.3490219116,100.682296117,"Excitatory",8.49498666667,-51.2395846049,8.49308166667,42.5729179382,186.833333333,8.492575,-34.4583358765,8.50996,-52.6250012716,2.24318782667
"474",133.680704,162.343755364,0.0750596448779,-89.9687576294,-72.1620178223,95.4437530518,"Excitatory",4.93963666667,-42.520837148,4.937595,44.5625025431,97.9166641235,4.93717166667,-32.4479204814,4.977895,-53.5937538147,3.66995452435
"483",189.404256,214.464262128,0.0666440650821,-96.1250076294,-71.5020294189,60.0468751192,"Inhibitory",4.50351166667,-51.4791692098,4.501265,6.64583365122,87,4.500765,-42.6979179382,4.51684666667,-52.5833358765,2.20819307107
"486",380.892416,291.406184435,0.0525948405266,-97.84375,-68.7102890015,81.8333377838,"Inhibitory",3.6849,-56.0937538147,3.68387,13,66.625,3.68341,-32.53125,3.68499,-56.2187538147,1.02734656431
"488",205.452864,187.656283379,0.0240895766765,-99.3125076294,-80.8980407715,92.3593788147,"Excitatory",3.84076666667,-49.7291692098,3.83902,40.8437525431,70.4583333333,3.83855333333,-38.4583358765,3.86534,-53.9791692098,3.32147112943
"494",258.823712,248.125046492,0.0593741945922,-95.5625,-72.4813919067,82.8020877838,"Excitatory",2.30122333333,-52.2291704814,2.29885833333,32.8958339691,31.9999987284,2.29837,-41.7812512716,2.336685,-59.2604192098,3.60581589749
"525",80.862096,87.187461555,0.0472240559757,-87.9375076294,-79.1463012695,86.8875022888,"Excitatory",8.68765333333,-45.927087148,8.68510666667,36.8645846049,191.625,8.6846,-37.8541679382,8.72202666667,-54.0104192098,3.52334597803
"527",156.43096,146.093562245,0.0724782198668,-93.09375,-77.5240783691,97.9062538147,"Excitatory",4.11388,-48.1562512716,4.11144666667,43.6458346049,77.25,4.11100666667,-33.1562512716,4.15782666667,-57.270837148,3.95997704041
"529",253.042464,324.218779802,0.185133472085,-98.84375,-71.4000549316,95.6250047684,"Inhibitory",3.137055,-58.8541704814,3.13618333333,32.135418574,52.8749987284,3.135785,-39.2291679382,3.13708166667,-58.927087148,1.51888513566
"540",281.09088,164.218783379,0.0750427693129,-93.53125,-76.1374206543,95.8359413147,"Excitatory",4.2635375,-45.0156288147,4.2608525,44.1875,80.9999961853,4.260425,-34.3437538147,4.3092875,-56.0625,3.3771343039
"553",300.860736,287.343740463,0.0848578065634,-100.40625,-68.8796081543,74.1302111944,"Inhibitory",3.362985,-51.5104179382,3.360345,21.1770846049,58.5000012716,3.35988666667,-35.9687512716,3.36865333333,-52.4479179382,3.0222321756
"555",192.310912,100.937500596,0.0239616632462,-99.46875,-82.9141769409,78.1937526703,"Inhibitory",12.754555,-45.1145833333,12.7535333333,2.25000003974,293.291666667,12.753105,-24.0937512716,12.7547466667,-45.3020846049,0.902975085138
"557",442.347744,487.96877265,0.216317743063,-90.9375,-67.8327102661,83.4250049591,"Excitatory",1.88452666667,-51.2604192098,1.88074666667,34.0000012716,21.5416666667,1.88015333333,-40.0833346049,1.91994,-57.145837148,3.70252547708
"560",95.661408,80.6251466274,0.0181947629899,-89,-79.0847549438,87.1312538147,"Inhibitory",13.7987333333,-48.7395833333,13.7953866667,18.916668574,319.375,13.7949133333,-38.5937525431,13.8034333333,-51.3750025431,3.57043441258
"561",197.321888,133.92855227,0.0159220937639,-99.9062576294,-78.856338501,67.2625024319,"Inhibitory",12.64228,-46.3125038147,12.64095,-6.5,290.5,12.6405,-27.1875019073,12.642355,-46.4531288147,0.896876525865
